SMILES,Solvent,LGAC,Et30,SP,SdP,SA,SB
CC(C)(C)C1Nc2c(Cl)cc(Cl)cc2C(=O)N1Cc1ccccc1,C(Cl)(Cl)Cl,3.5705,39.1,0.783,0.614,0.047,0.071
CC(C)(C)C1Nc2c(Cl)cc(Cl)cc2C(=O)N1Cc1ccccc1,CO,3.5145,55.4,0.608,0.904,0.605,0.545
CC(C)(C)C1Nc2c(Cl)cc(Cl)cc2C(=O)N1Cc1ccccc1,CC#N,3.4363,45.6,0.645,0.974,0.044,0.286
CC(C)(C)C1Nc2c(Br)cc(Br)cc2C(=O)N1Cc1ccccc1,C(Cl)(Cl)Cl,3.5933,39.1,0.783,0.614,0.047,0.071
CC(C)(C)C1Nc2c(Br)cc(Br)cc2C(=O)N1Cc1ccccc1,CO,3.5809,55.4,0.608,0.904,0.605,0.545
CC(C)(C)C1Nc2c(Br)cc(Br)cc2C(=O)N1Cc1ccccc1,CC#N,3.4871,45.6,0.645,0.974,0.044,0.286
CCN(CC)c1ccc2c(c1)oc(=O)c1c(-c3ccccc3C(=O)O)c3ccc(=[N+](CC)CC)cc-3oc12,C(Cl)(Cl)Cl,4.8887,39.1,0.783,0.614,0.047,0.071
CC[N+](CC)=c1ccc2c(-c3ccccc3C(=O)O)c3c(=O)oc4cc5c(cc4c3oc-2c1)CCCN5C,C(Cl)(Cl)Cl,4.8842,39.1,0.783,0.614,0.047,0.071
CC[N+](CC)=c1ccc2c(-c3ccccc3C(=O)O)c3c(=O)oc4cc5c(cc4c3oc-2c1)CCCN5C,CCO,4.8116,51.9,0.633,0.783,0.4,0.658
CC[N+](CC)=c1ccc2c(-c3ccccc3C(=O)O)c3c(=O)oc4cc5c(cc4c3oc-2c1)CCCN5C,O,4.6513,63.1,0.681,0.997,1.062,0.025
CC[N+](CC)=c1ccc2c(-c3ccccc3C(=O)O)c3c(=O)oc4c5c6c(cc4c3oc-2c1)CCCN6CCC5,C(Cl)(Cl)Cl,4.8751,39.1,0.783,0.614,0.047,0.071
CCOC(=O)c1ccccc1-c1c2ccc(=[N+](CC)CC)cc-2oc2c1c(=O)oc1cc(N(CC)CC)ccc12,C(Cl)(Cl)Cl,4.9956,39.1,0.783,0.614,0.047,0.071
CCOC(=O)c1ccccc1-c1c2ccc(=[N+](CC)CC)cc-2oc2c1c(=O)oc1cc(N(CC)CC)ccc12,CCO,4.8062,51.9,0.633,0.783,0.4,0.658
CCOC(=O)c1ccccc1-c1c2ccc(=[N+](CC)CC)cc-2oc2c1c(=O)oc1cc(N(CC)CC)ccc12,O,4.8549,63.1,0.681,0.997,1.062,0.025
CCOC(=O)c1ccccc1-c1c2ccc(=[N+](CC)CC)cc-2oc2c1c(=O)oc1cc3c(cc12)CCCN3C,C(Cl)(Cl)Cl,5.0334,39.1,0.783,0.614,0.047,0.071
CCOC(=O)c1ccccc1-c1c2ccc(=[N+](CC)CC)cc-2oc2c1c(=O)oc1cc3c(cc12)CCCN3C,CCO,4.891,51.9,0.633,0.783,0.4,0.658
CCOC(=O)c1ccccc1-c1c2ccc(=[N+](CC)CC)cc-2oc2c1c(=O)oc1cc3c(cc12)CCCN3C,O,4.882,63.1,0.681,0.997,1.062,0.025
CCOC(=O)c1ccccc1-c1c2ccc(=[N+](CC)CC)cc-2oc2c1c(=O)oc1c3c4c(cc12)CCCN4CCC3,C(Cl)(Cl)Cl,5.0326,39.1,0.783,0.614,0.047,0.071
CCOC(=O)c1ccccc1-c1c2ccc(=[N+](CC)CC)cc-2oc2c1c(=O)oc1c3c4c(cc12)CCCN4CCC3,CCO,4.9425,51.9,0.633,0.783,0.4,0.658
CCOC(=O)c1ccccc1-c1c2ccc(=[N+](CC)CC)cc-2oc2c1c(=O)oc1c3c4c(cc12)CCCN4CCC3,O,4.8209,63.1,0.681,0.997,1.062,0.025
Cn1cc(-c2nc3ccccc3nc2/C=C/N2CCCC2)c2ccccc21,CC#N,4.238,45.6,0.645,0.974,0.044,0.286
Cn1ccc(-c2nc3ccccc3nc2/C=C/N2CCCC2)c1,CC#N,4.3118,45.6,0.645,0.974,0.044,0.286
COc1ccc(-c2nc3ccccc3nc2/C=C/N2CCCC2)s1,CC#N,4.1847,45.6,0.645,0.974,0.044,0.286
C(=C/N1CCCC1)\c1nc2ccccc2nc1-c1ccccc1,CC#N,4.2068,45.6,0.645,0.974,0.044,0.286
O=P1(c2ccccc2)C(c2ccccc2)=Cc2ccccc21,C1CCOC1,3.9445,37.4,0.714,0.634,0,0.591
COc1ccc(C2=Cc3ccccc3P2(=O)c2ccccc2)cc1,C1CCOC1,4.1004,37.4,0.714,0.634,0,0.591
O=P1(c2ccccc2)C(c2cccs2)=Cc2ccccc21,C1CCOC1,4.0792,37.4,0.714,0.634,0,0.591
COc1ccc(-c2cc3ccccc3p2-c2ccccc2)cc1,C1CCOC1,4.2201,37.4,0.714,0.634,0,0.591
c1ccc(-p2c(-c3cccs3)cc3ccccc32)cc1,C1CCOC1,4.1931,37.4,0.714,0.634,0,0.591
CC(C)(C)c1ccc(C2=Cc3cc4c(cc3P2(=O)c2ccccc2)C=C(c2ccc(C(C)(C)C)cc2)P4(=O)c2ccccc2)cc1,C1CCOC1,4.3766,37.4,0.714,0.634,0,0.591
CC(C)(C)c1ccc(-c2cc3cc4c(cc(-c5ccc(C(C)(C)C)cc5)p4-c4ccccc4)cc3p2-c2ccccc2)cc1,C1CCOC1,4.4548,37.4,0.714,0.634,0,0.591
O=Cc1ccc(-c2cccs2)s1,CC#N,4.3395,45.6,0.645,0.974,0.044,0.286
CCOC(=O)c1c(N)sc(/N=C/c2cccs2)c1C(=O)OCC,CC#N,4.2788,45.6,0.645,0.974,0.044,0.286
CCOC(=O)c1c(N)sc(/N=C/c2ccc(-c3cccs3)s2)c1C(=O)OCC,CC#N,4.4065,45.6,0.645,0.974,0.044,0.286
CCOC(=O)c1c(/N=C/c2cccs2)sc(/N=C/c2cccs2)c1C(=O)OCC,CC#N,4.4362,45.6,0.645,0.974,0.044,0.286
CCOC(=O)c1c(/N=C/c2ccc(-c3cccs3)s2)sc(/N=C/c2ccc(-c3cccs3)s2)c1C(=O)OCC,CC#N,4.5011,45.6,0.645,0.974,0.044,0.286
CCOC(=O)c1c(/N=C/c2cccs2)sc(/N=C/c2ccc(-c3cccs3)s2)c1C(=O)OCC,CC#N,4.4814,45.6,0.645,0.974,0.044,0.286
CCCCCCCCCCc1csc(/C=N/c2sc(/N=C/c3cc(CCCCCCCCCC)cs3)c(C(=O)OCC)c2C(=O)OCC)c1,CC#N,4.433,45.6,0.645,0.974,0.044,0.286
c1csc(-c2ccc(-c3cccs3)s2)c1,CC#N,4.3838,45.6,0.645,0.974,0.044,0.286
c1csc(-c2ccc(-c3ccc(-c4ccc(-c5cccs5)s4)s3)s2)c1,CC#N,4.6304,45.6,0.645,0.974,0.044,0.286
C(=C/c1ccc(/C=C/c2cccs2)s1)\c1cccs1,CC#N,4.4771,45.6,0.645,0.974,0.044,0.286
COc1cc2c(cc1/C=C/C(=C(CN)CN)c1ccccc1)c1ccccc1n2C,CCO,4.4469,51.9,0.633,0.783,0.4,0.658
CCOc1cc2c(cc1/C=C/C(=C(CN)CN)c1ccccc1)c1ccccc1n2CC,CC1=CC=CC=C1,4.4765,33.9,0.782,0.284,0,0.128
CCOc1cc2c(cc1/C=C/C(=C(CN)CN)c1ccccc1)c1ccccc1n2CC,C1CCOC1,4.5356,37.4,0.714,0.634,0,0.591
CCOc1cc2c(cc1/C=C/C(=C(CN)CN)c1ccccc1)c1ccccc1n2CC,CCOC(=O)C,4.5859,38.1,0.656,0.603,0,0.542
CCOc1cc2c(cc1/C=C/C(=C(CN)CN)c1ccccc1)c1ccccc1n2CC,C(Cl)Cl,4.6103,40.7,0.761,0.769,0.04,0.178
CCOc1cc2c(cc1/C=C/C(=C(CN)CN)c1ccccc1)c1ccccc1n2CC,C(Cl)(Cl)Cl,4.4238,39.1,0.783,0.614,0.047,0.071
CCOc1cc2c(cc1/C=C/C(=C(CN)CN)c1ccccc1)c1ccccc1n2CC,CC#N,4.5355,45.6,0.645,0.974,0.044,0.286
CCOc1cc2c(cc1/C=C/C(=C(CN)CN)c1ccccc1)c1ccccc1n2CC,CCO,4.5793,51.9,0.633,0.783,0.4,0.658
CCOc1cc2c(cc1/C=C/C(=C(CN)CN)c1ccccc1)c1ccccc1n2CC,CN(C)C=O,4.5637,43.2,0.759,0.977,0.031,0.613
CCOc1cc2c(cc1/C=C/C(=C(CN)CN)c1ccccc1)c1ccccc1n2CC,CS(=O)C,4.4511,45.1,0.83,1,0.072,0.647
COc1cc2c(cc1/C=C/C1=CC(=C(CN)CN)CC(C)(C)C1)c1ccccc1n2C,CC1=CC=CC=C1,4.3026,33.9,0.782,0.284,0,0.128
COc1cc2c(cc1/C=C/C1=CC(=C(CN)CN)CC(C)(C)C1)c1ccccc1n2C,C1CCOC1,4.4041,37.4,0.714,0.634,0,0.591
COc1cc2c(cc1/C=C/C1=CC(=C(CN)CN)CC(C)(C)C1)c1ccccc1n2C,CCOC(=O)C,4.3678,38.1,0.656,0.603,0,0.542
COc1cc2c(cc1/C=C/C1=CC(=C(CN)CN)CC(C)(C)C1)c1ccccc1n2C,C(Cl)Cl,4.4184,40.7,0.761,0.769,0.04,0.178
COc1cc2c(cc1/C=C/C1=CC(=C(CN)CN)CC(C)(C)C1)c1ccccc1n2C,C(Cl)(Cl)Cl,4.3315,39.1,0.783,0.614,0.047,0.071
COc1cc2c(cc1/C=C/C1=CC(=C(CN)CN)CC(C)(C)C1)c1ccccc1n2C,CC#N,4.2659,45.6,0.645,0.974,0.044,0.286
COc1cc2c(cc1/C=C/C1=CC(=C(CN)CN)CC(C)(C)C1)c1ccccc1n2C,CCO,4.332,51.9,0.633,0.783,0.4,0.658
COc1cc2c(cc1/C=C/C1=CC(=C(CN)CN)CC(C)(C)C1)c1ccccc1n2C,CN(C)C=O,4.2671,43.2,0.759,0.977,0.031,0.613
COc1cc2c(cc1/C=C/C1=CC(=C(CN)CN)CC(C)(C)C1)c1ccccc1n2C,CS(=O)C,4.3321,45.1,0.83,1,0.072,0.647
CCOc1cc2c(cc1/C=C/C1=CC(=C(CN)CN)CC(C)(C)C1)c1ccccc1n2CC,CC1=CC=CC=C1,4.6786,33.9,0.782,0.284,0,0.128
CCOc1cc2c(cc1/C=C/C1=CC(=C(CN)CN)CC(C)(C)C1)c1ccccc1n2CC,C1CCOC1,4.5818,37.4,0.714,0.634,0,0.591
CCOc1cc2c(cc1/C=C/C1=CC(=C(CN)CN)CC(C)(C)C1)c1ccccc1n2CC,CCOC(=O)C,4.4149,38.1,0.656,0.603,0,0.542
CCOc1cc2c(cc1/C=C/C1=CC(=C(CN)CN)CC(C)(C)C1)c1ccccc1n2CC,C(Cl)Cl,4.467,40.7,0.761,0.769,0.04,0.178
CCOc1cc2c(cc1/C=C/C1=CC(=C(CN)CN)CC(C)(C)C1)c1ccccc1n2CC,C(Cl)(Cl)Cl,4.6347,39.1,0.783,0.614,0.047,0.071
CCOc1cc2c(cc1/C=C/C1=CC(=C(CN)CN)CC(C)(C)C1)c1ccccc1n2CC,CC#N,4.6397,45.6,0.645,0.974,0.044,0.286
CCOc1cc2c(cc1/C=C/C1=CC(=C(CN)CN)CC(C)(C)C1)c1ccccc1n2CC,CCO,4.5999,51.9,0.633,0.783,0.4,0.658
CCOc1cc2c(cc1/C=C/C1=CC(=C(CN)CN)CC(C)(C)C1)c1ccccc1n2CC,CN(C)C=O,4.64,43.2,0.759,0.977,0.031,0.613
CCOc1cc2c(cc1/C=C/C1=CC(=C(CN)CN)CC(C)(C)C1)c1ccccc1n2CC,CS(=O)C,4.5509,45.1,0.83,1,0.072,0.647
COc1ccc(-n2c3ccccc3c3cc(C=C(CN)CN)ccc32)cc1,CC1=CC=CC=C1,4.3262,33.9,0.782,0.284,0,0.128
COc1ccc(-n2c3ccccc3c3cc(C=C(CN)CN)ccc32)cc1,C1CCOC1,4.268,37.4,0.714,0.634,0,0.591
COc1ccc(-n2c3ccccc3c3cc(C=C(CN)CN)ccc32)cc1,CCOC(=O)C,4.2832,38.1,0.656,0.603,0,0.542
COc1ccc(-n2c3ccccc3c3cc(C=C(CN)CN)ccc32)cc1,C(Cl)(Cl)Cl,4.3197,39.1,0.783,0.614,0.047,0.071
COc1ccc(-n2c3ccccc3c3cc(C=C(CN)CN)ccc32)cc1,CC#N,4.2671,45.6,0.645,0.974,0.044,0.286
COc1ccc(-n2c3ccccc3c3cc(C=C(CN)CN)ccc32)cc1,CC(=O)C,4.3993,42.2,0.651,0.907,0,0.475
COc1ccc(-n2c3ccccc3c3cc(C=C(CN)CN)ccc32)cc1,CO,4.3008,55.4,0.608,0.904,0.605,0.545
COc1ccc(-n2c3ccccc3c3cc(C=C(CN)CN)ccc32)cc1,CS(=O)C,4.3317,45.1,0.83,1,0.072,0.647
CCOC(=O)/C(=C\c1ccc2c(c1)c1ccccc1n2-c1ccc(OC)cc1)CN,CC1=CC=CC=C1,4.3352,33.9,0.782,0.284,0,0.128
CCOC(=O)/C(=C\c1ccc2c(c1)c1ccccc1n2-c1ccc(OC)cc1)CN,C1CCOC1,4.2528,37.4,0.714,0.634,0,0.591
CCOC(=O)/C(=C\c1ccc2c(c1)c1ccccc1n2-c1ccc(OC)cc1)CN,CCOC(=O)C,4.2629,38.1,0.656,0.603,0,0.542
CCOC(=O)/C(=C\c1ccc2c(c1)c1ccccc1n2-c1ccc(OC)cc1)CN,C(Cl)(Cl)Cl,4.2743,39.1,0.783,0.614,0.047,0.071
CCOC(=O)/C(=C\c1ccc2c(c1)c1ccccc1n2-c1ccc(OC)cc1)CN,CC#N,4.3078,45.6,0.645,0.974,0.044,0.286
CCOC(=O)/C(=C\c1ccc2c(c1)c1ccccc1n2-c1ccc(OC)cc1)CN,CC(=O)C,4.3073,42.2,0.651,0.907,0,0.475
CCOC(=O)/C(=C\c1ccc2c(c1)c1ccccc1n2-c1ccc(OC)cc1)CN,CO,4.289,55.4,0.608,0.904,0.605,0.545
CCOC(=O)/C(=C\c1ccc2c(c1)c1ccccc1n2-c1ccc(OC)cc1)CN,CS(=O)C,4.3469,45.1,0.83,1,0.072,0.647
Cc1ccc(-n2c3ccccc3c3cc(C=C(CN)CN)ccc32)cc1,CC1=CC=CC=C1,4.3541,33.9,0.782,0.284,0,0.128
Cc1ccc(-n2c3ccccc3c3cc(C=C(CN)CN)ccc32)cc1,C1CCOC1,4.3554,37.4,0.714,0.634,0,0.591
Cc1ccc(-n2c3ccccc3c3cc(C=C(CN)CN)ccc32)cc1,CCOC(=O)C,4.3748,38.1,0.656,0.603,0,0.542
Cc1ccc(-n2c3ccccc3c3cc(C=C(CN)CN)ccc32)cc1,C(Cl)(Cl)Cl,4.3625,39.1,0.783,0.614,0.047,0.071
Cc1ccc(-n2c3ccccc3c3cc(C=C(CN)CN)ccc32)cc1,CC#N,4.4202,45.6,0.645,0.974,0.044,0.286
Cc1ccc(-n2c3ccccc3c3cc(C=C(CN)CN)ccc32)cc1,CC(=O)C,4.3769,42.2,0.651,0.907,0,0.475
Cc1ccc(-n2c3ccccc3c3cc(C=C(CN)CN)ccc32)cc1,CO,4.2969,55.4,0.608,0.904,0.605,0.545
Cc1ccc(-n2c3ccccc3c3cc(C=C(CN)CN)ccc32)cc1,CS(=O)C,4.1915,45.1,0.83,1,0.072,0.647
CCOC(=O)/C(=C\c1ccc2c(c1)c1ccccc1n2-c1ccc(C)cc1)CN,CC1=CC=CC=C1,4.3443,33.9,0.782,0.284,0,0.128
CCOC(=O)/C(=C\c1ccc2c(c1)c1ccccc1n2-c1ccc(C)cc1)CN,C1CCOC1,4.361,37.4,0.714,0.634,0,0.591
CCOC(=O)/C(=C\c1ccc2c(c1)c1ccccc1n2-c1ccc(C)cc1)CN,CCOC(=O)C,4.3392,38.1,0.656,0.603,0,0.542
CCOC(=O)/C(=C\c1ccc2c(c1)c1ccccc1n2-c1ccc(C)cc1)CN,C(Cl)(Cl)Cl,4.3585,39.1,0.783,0.614,0.047,0.071
CCOC(=O)/C(=C\c1ccc2c(c1)c1ccccc1n2-c1ccc(C)cc1)CN,CC#N,4.3133,45.6,0.645,0.974,0.044,0.286
CCOC(=O)/C(=C\c1ccc2c(c1)c1ccccc1n2-c1ccc(C)cc1)CN,CC(=O)C,4.4155,42.2,0.651,0.907,0,0.475
CCOC(=O)/C(=C\c1ccc2c(c1)c1ccccc1n2-c1ccc(C)cc1)CN,CO,4.3274,55.4,0.608,0.904,0.605,0.545
CCOC(=O)/C(=C\c1ccc2c(c1)c1ccccc1n2-c1ccc(C)cc1)CN,CS(=O)C,4.2737,45.1,0.83,1,0.072,0.647
Cc1ccc(-n2c3ccccc3c3cc(C(=C(CN)CN)c4ccccc4)ccc32)cc1,CC1=CC=CC=C1,4.4231,33.9,0.782,0.284,0,0.128
Cc1ccc(-n2c3ccccc3c3cc(C(=C(CN)CN)c4ccccc4)ccc32)cc1,C1CCOC1,4.2983,37.4,0.714,0.634,0,0.591
Cc1ccc(-n2c3ccccc3c3cc(C(=C(CN)CN)c4ccccc4)ccc32)cc1,CCOC(=O)C,4.33,38.1,0.656,0.603,0,0.542
Cc1ccc(-n2c3ccccc3c3cc(C(=C(CN)CN)c4ccccc4)ccc32)cc1,C(Cl)(Cl)Cl,4.3474,39.1,0.783,0.614,0.047,0.071
Cc1ccc(-n2c3ccccc3c3cc(C(=C(CN)CN)c4ccccc4)ccc32)cc1,CC#N,4.3844,45.6,0.645,0.974,0.044,0.286
Cc1ccc(-n2c3ccccc3c3cc(C(=C(CN)CN)c4ccccc4)ccc32)cc1,CC(=O)C,4.2941,42.2,0.651,0.907,0,0.475
Cc1ccc(-n2c3ccccc3c3cc(C(=C(CN)CN)c4ccccc4)ccc32)cc1,CO,4.3138,55.4,0.608,0.904,0.605,0.545
Cc1ccc(-n2c3ccccc3c3cc(C(=C(CN)CN)c4ccccc4)ccc32)cc1,CS(=O)C,4.3284,45.1,0.83,1,0.072,0.647
COc1cc2c(cc1C=C(CN)CN)c1ccccc1n2C,CC1=CC=CC=C1,4.761,33.9,0.782,0.284,0,0.128
COc1cc2c(cc1C=C(CN)CN)c1ccccc1n2C,C(Cl)Cl,4.7156,40.7,0.761,0.769,0.04,0.178
COc1cc2c(cc1C=C(CN)CN)c1ccccc1n2C,C1CCOC1,4.8243,37.4,0.714,0.634,0,0.591
COc1cc2c(cc1C=C(CN)CN)c1ccccc1n2C,C(Cl)(Cl)Cl,4.7191,39.1,0.783,0.614,0.047,0.071
COc1cc2c(cc1C=C(CN)CN)c1ccccc1n2C,CCOC(=O)C,4.6778,38.1,0.656,0.603,0,0.542
COc1cc2c(cc1C=C(CN)CN)c1ccccc1n2C,CO,4.6312,55.4,0.608,0.904,0.605,0.545
COc1cc2c(cc1C=C(CN)CN)c1ccccc1n2C,CC#N,4.6796,45.6,0.645,0.974,0.044,0.286
COc1cc2c(cc1C=C(CN)CN)c1ccccc1n2C,CN(C)C=O,4.6402,43.2,0.759,0.977,0.031,0.613
COc1cc2c(cc1C=C(CN)CN)c1ccccc1n2C,CS(=O)C,4.6037,45.1,0.83,1,0.072,0.647
CCOC(=O)/C(=C/c1cc2c3ccccc3n(C)c2cc1OC)CN,CC1=CC=CC=C1,4.8277,33.9,0.782,0.284,0,0.128
CCOC(=O)/C(=C/c1cc2c3ccccc3n(C)c2cc1OC)CN,C(Cl)Cl,4.8134,40.7,0.761,0.769,0.04,0.178
CCOC(=O)/C(=C/c1cc2c3ccccc3n(C)c2cc1OC)CN,C1CCOC1,4.7734,37.4,0.714,0.634,0,0.591
CCOC(=O)/C(=C/c1cc2c3ccccc3n(C)c2cc1OC)CN,C(Cl)(Cl)Cl,4.7555,39.1,0.783,0.614,0.047,0.071
CCOC(=O)/C(=C/c1cc2c3ccccc3n(C)c2cc1OC)CN,CCOC(=O)C,4.7819,38.1,0.656,0.603,0,0.542
CCOC(=O)/C(=C/c1cc2c3ccccc3n(C)c2cc1OC)CN,CO,4.7578,55.4,0.608,0.904,0.605,0.545
CCOC(=O)/C(=C/c1cc2c3ccccc3n(C)c2cc1OC)CN,CC#N,4.7396,45.6,0.645,0.974,0.044,0.286
CCOC(=O)/C(=C/c1cc2c3ccccc3n(C)c2cc1OC)CN,CN(C)C=O,4.7026,43.2,0.759,0.977,0.031,0.613
CCOC(=O)/C(=C/c1cc2c3ccccc3n(C)c2cc1OC)CN,CS(=O)C,4.6781,45.1,0.83,1,0.072,0.647
COc1cc2c(cc1/C=C(\CN)c1nc3ccccc3s1)c1ccccc1n2C,CC1=CC=CC=C1,4.4822,33.9,0.782,0.284,0,0.128
COc1cc2c(cc1/C=C(\CN)c1nc3ccccc3s1)c1ccccc1n2C,C(Cl)Cl,4.3857,40.7,0.761,0.769,0.04,0.178
COc1cc2c(cc1/C=C(\CN)c1nc3ccccc3s1)c1ccccc1n2C,C1CCOC1,4.5113,37.4,0.714,0.634,0,0.591
COc1cc2c(cc1/C=C(\CN)c1nc3ccccc3s1)c1ccccc1n2C,C(Cl)(Cl)Cl,4.4263,39.1,0.783,0.614,0.047,0.071
COc1cc2c(cc1/C=C(\CN)c1nc3ccccc3s1)c1ccccc1n2C,CCOC(=O)C,4.5858,38.1,0.656,0.603,0,0.542
COc1cc2c(cc1/C=C(\CN)c1nc3ccccc3s1)c1ccccc1n2C,CO,4.6391,55.4,0.608,0.904,0.605,0.545
COc1cc2c(cc1/C=C(\CN)c1nc3ccccc3s1)c1ccccc1n2C,CC#N,4.5501,45.6,0.645,0.974,0.044,0.286
COc1cc2c(cc1/C=C(\CN)c1nc3ccccc3s1)c1ccccc1n2C,CN(C)C=O,4.4262,43.2,0.759,0.977,0.031,0.613
COc1cc2c(cc1/C=C(\CN)c1nc3ccccc3s1)c1ccccc1n2C,CS(=O)C,4.4513,45.1,0.83,1,0.072,0.647
COc1cc2c(cc1/C=C/C(=C(CN)CN)c1ccccc1)c1ccccc1n2C,CO,4.4469,55.4,0.608,0.904,0.605,0.545
CN(C)c1ccc2c3c(c(=O)oc2c1)C=c1cc2c(cc1O3)=[N+](CCC(=O)O)CCC2,CC#N,4.7501,45.6,0.645,0.974,0.044,0.286
CN(C)c1ccc2c3c(c(=O)oc2c1)C=c1cc2c(cc1O3)=[N+](CCC(=O)O)CCC2,CO,4.736,55.4,0.608,0.904,0.605,0.545
CN(C)c1ccc2c3c(c(=O)oc2c1)C=c1cc2c(cc1O3)=[N+](CCC(=O)O)CCC2,O,4.7024,63.1,0.681,0.997,1.062,0.025
CCOC(=O)CC[N+]1=c2cc3c(cc2CCC1)=Cc1c(c2ccc(N(C)C)cc2oc1=O)O3,C(Cl)Cl,4.8768,40.7,0.761,0.769,0.04,0.178
CCOC(=O)CC[N+]1=c2cc3c(cc2CCC1)=Cc1c(c2ccc(N(C)C)cc2oc1=O)O3,CC#N,4.8089,45.6,0.645,0.974,0.044,0.286
CCOC(=O)CC[N+]1=c2cc3c(cc2CCC1)=Cc1c(c2ccc(N(C)C)cc2oc1=O)O3,CO,4.7619,55.4,0.608,0.904,0.605,0.545
CCOC(=O)CC[N+]1=c2cc3c(cc2CCC1)=Cc1c(c2ccc(N(C)C)cc2oc1=O)O3,O,4.7435,63.1,0.681,0.997,1.062,0.025
O=C(O)CC[N+]1=c2cc3c(cc2CCC1)=Cc1c(c2cc4c5c(c2oc1=O)CCCN5CCC4)O3,C(Cl)Cl,4.8038,40.7,0.761,0.769,0.04,0.178
O=C(O)CC[N+]1=c2cc3c(cc2CCC1)=Cc1c(c2cc4c5c(c2oc1=O)CCCN5CCC4)O3,CC#N,4.7046,45.6,0.645,0.974,0.044,0.286
O=C(O)CC[N+]1=c2cc3c(cc2CCC1)=Cc1c(c2cc4c5c(c2oc1=O)CCCN5CCC4)O3,CO,4.6821,55.4,0.608,0.904,0.605,0.545
O=C(O)CC[N+]1=c2cc3c(cc2CCC1)=Cc1c(c2cc4c5c(c2oc1=O)CCCN5CCC4)O3,O,4.5647,63.1,0.681,0.997,1.062,0.025
CCOC(=O)CC[N+]1=c2cc3c(cc2CCC1)=Cc1c(c2cc4c5c(c2oc1=O)CCCN5CCC4)O3,C(Cl)Cl,4.8845,40.7,0.761,0.769,0.04,0.178
CCOC(=O)CC[N+]1=c2cc3c(cc2CCC1)=Cc1c(c2cc4c5c(c2oc1=O)CCCN5CCC4)O3,CC#N,4.8306,45.6,0.645,0.974,0.044,0.286
CCOC(=O)CC[N+]1=c2cc3c(cc2CCC1)=Cc1c(c2cc4c5c(c2oc1=O)CCCN5CCC4)O3,CO,4.8089,55.4,0.608,0.904,0.605,0.545
CCOC(=O)CC[N+]1=c2cc3c(cc2CCC1)=Cc1c(c2cc4c5c(c2oc1=O)CCCN5CCC4)O3,O,4.6994,63.1,0.681,0.997,1.062,0.025
CCC1(CC)c2cc(Br)ccc2-c2c1c1c(c3c2C(CC)(CC)c2cc(-c4cccs4)ccc2-3)C(CC)(CC)c2cc(Br)ccc2-1,C1CCOC1,4.7404,37.4,0.714,0.634,0,0.591
CCC1(CC)c2cc(Br)ccc2-c2c1c1c(c3c2C(CC)(CC)c2cc(-c4cccs4)ccc2-3)C(CC)(CC)c2cc(-c3cccs3)ccc2-1,C1CCOC1,4.9956,37.4,0.714,0.634,0,0.591
CCC1(CC)c2cc(CCc3cccs3)ccc2-c2c1c1c(c3c2C(CC)(CC)c2cc(CCc4cccs4)ccc2-3)C(CC)(CC)c2cc(CCc3cccs3)ccc2-1,C1CCOC1,5.0645,37.4,0.714,0.634,0,0.591
CCC1(CC)c2ccccc2-c2c1c1c(c3c2C(CC)(CC)c2cc(-c4cccs4)ccc2-3)C(CC)(CC)c2cc(N(c3ccccc3)c3ccccc3)ccc2-1,C1CCOC1,4.7243,37.4,0.714,0.634,0,0.591
CCCCn1c2ccccc2c2c1c1c3ccccc3n(CCCC)c1c1c3ccccc3n(CCCC)c21,C1CCOC1,4.7993,37.4,0.714,0.634,0,0.591
CCCCn1c2ccc(-c3cccs3)cc2c2c1c1c3ccc(-c4cccs4)cc3n(CCCC)c1c1c3ccc(-c4cccs4)cc3n(CCCC)c21,C1CCOC1,5.0792,37.4,0.714,0.634,0,0.591
CCCCn1c2ccc(CCc3cccs3)cc2c2c1c1c3ccc(CCc4cccs4)cc3n(CCCC)c1c1c3ccc(CCc4cccs4)cc3n(CCCC)c21,C1CCOC1,5.0128,37.4,0.714,0.634,0,0.591
COc1cc(N(c2ccccc2)c2ccccc2)ccc1C=C(CN)CN,CC1=CC=CC=C1,4.6721,33.9,0.782,0.284,0,0.128
COc1cc(N(c2ccccc2)c2ccccc2)ccc1C=C(CN)CN,C1COCCO1,4.7324,36,0.737,0.312,0,0.444
COc1cc(N(c2ccccc2)c2ccccc2)ccc1C=C(CN)CN,C(Cl)Cl,4.8062,40.7,0.761,0.769,0.04,0.178
COc1cc(N(c2ccccc2)c2ccccc2)ccc1C=C(CN)CN,C(Cl)(Cl)Cl,4.7482,39.1,0.783,0.614,0.047,0.071
COc1cc(N(c2ccccc2)c2ccccc2)ccc1C=C(CN)CN,CCOC(=O)C,4.699,38.1,0.656,0.603,0,0.542
COc1cc(N(c2ccccc2)c2ccccc2)ccc1C=C(CN)CN,CC(=O)C,4.7559,42.2,0.651,0.907,0,0.475
COc1cc(N(c2ccccc2)c2ccccc2)ccc1C=C(CN)CN,CN(C)C=O,4.7559,43.2,0.759,0.977,0.031,0.613
COc1cc(N(c2ccccc2)c2ccccc2)ccc1C=C(CN)CN,CC#N,4.7482,45.6,0.645,0.974,0.044,0.286
COc1cc(N(c2ccccc2)c2ccccc2)ccc1C=C(CN)CN,CO,4.7482,55.4,0.608,0.904,0.605,0.545
